f,DIAGNOSIS,pvalue
f__Ruminococcaceae,Healthy,1.51267065035054e-06
c__Clostridia,Healthy,3.05838049063017e-06
o__Clostridiales,Healthy,3.05838049063017e-06
s__un_g__Faecalibacterium,Healthy,4.75087462907852e-06
g__Faecalibacterium,Healthy,4.75329373881338e-06
g__un_f__Ruminococcaceae,Healthy,1.69837255768906e-05
s__un_f__Ruminococcaceae,Healthy,1.69837255768906e-05
o__Coriobacteriales,Healthy,4.25456823627024e-05
f__Coriobacteriaceae,Healthy,4.72583865107421e-05
c__Fusobacteria (class),Tumor,4.76057216365154e-05
f__Fusobacteriaceae,Tumor,4.76057216365154e-05
o__Fusobacteriales,Tumor,4.76057216365154e-05
p__Fusobacteria,Tumor,4.76057216365154e-05
g__Fusobacterium,Tumor,0.000103448683078524
f__Alcaligenaceae,Healthy,0.00012148100023334
f__Lachnospiraceae,Healthy,0.000189840649798373
f__Bacteroidaceae,Healthy,0.000228643348833595
g__Bacteroides_f__Bacteroidaceae,Healthy,0.000228643348833595
g__Sutterella,Healthy,0.000237311074736752
p__Firmicutes,Healthy,0.000252107547230567
s__un_g__Sutterella,Healthy,0.000265692855921201
s__un_g__Fusobacterium,Tumor,0.000410314108015989
s__un_g__Bacteroides,Healthy,0.000520931732075829
o__Burkholderiales,Healthy,0.00116451786808939
c__Epsilonproteobacteria,Tumor,0.00130732690640795
f__Campylobacteraceae,Tumor,0.00130732690640795
o__Campylobacterales,Tumor,0.00130732690640795
g__Collinsella,Healthy,0.00135289251384375
c__Betaproteobacteria,Healthy,0.00171691468792643
s__un_g__Clostridium_g__Clostridium_f__Erysipelotrichaceae,Healthy,0.00198539462978982
f__un_o__Clostridiales,Healthy,0.00199169046802336
g__un_o__Clostridiales,Healthy,0.00199169046802336
s__un_o__Clostridiales,Healthy,0.00199169046802336
g__Campylobacter,Tumor,0.00211127741038884
g__Parabacteroides,Healthy,0.00226737467018806
f__Rikenellaceae,Healthy,0.0024517180612936
