species,svl
ahli,4.039125443
alayoni,3.815704818
alfaroi,3.526654599
aliniger,4.036556538
allisoni,4.375390078
allogus,4.040138442
altitudinalis,3.842994419
alumina,3.588940722
alutaceus,3.554890814
angusticeps,3.788595498
argenteolus,3.971307363
argillaceus,3.757868992
armouri,4.121684075
bahorucoensis,3.827445029
baleatus,5.05305601
baracoae,5.042779747
barahonae,5.076957937
barbatus,5.003946306
barbouri,3.663931948
bartschi,4.280547466
bremeri,4.113370744
breslini,4.051110808
brevirostris,3.874154977
caudalis,3.911742966
centralis,3.697941213
chamaeleonides,5.04234927
chlorocyanus,4.275448057
christophei,3.884651809
clivicola,3.758726128
coelestinus,4.297965447
confusus,3.938442349
cooki,4.091535064
cristatellus,4.189820018
cupeyalensis,3.462013706
cuvieri,4.875011919
cyanopleurus,3.630161001
cybotes,4.210982161
darlingtoni,4.302036009
distichus,3.928795837
dolichocephalus,3.908550316
equestris,5.113993807
etheridgei,3.657990601
eugenegrahami,4.128504414
evermanni,4.165605231
fowleri,4.288779949
garmani,4.769473237
grahami,4.154274265
guafe,3.87745744
guamuhaya,5.036952602
guazuma,3.76388385
gundlachi,4.18810472
haetianus,4.316542212
hendersoni,3.859834574
homolechis,4.032805981
imias,4.099687407
inexpectatus,3.537438641
insolitus,3.80047052
isolepis,3.657087744
jubar,3.952604971
krugi,3.886500048
lineatopus,4.128611788
longitibialis,4.242103429
loysiana,3.701240244
lucius,4.198914766
luteogularis,5.101085197
macilentus,3.715764783
marcanoi,4.079484699
marron,3.831810283
mestrei,3.987147344
monticola,3.770613039
noblei,5.083472618
occultus,3.663048694
olssoni,3.79389884
opalinus,3.838376465
ophiolepis,3.637962029
oporinus,3.845669505
paternus,3.802961204
placidus,3.773967107
poncensis,3.820377531
porcatus,4.258990989
porcus,5.038034268
pulchellus,3.799022266
pumilis,3.46686027
quadriocellifer,3.901619072
reconditus,4.482606994
ricordii,5.013963084
rubribarbus,4.078469213
sagrei,4.067161768
semilineatus,3.696630586
sheplani,3.682924257
shrevei,3.983003234
singularis,4.057997494
smallwoodi,5.035095592
strahmi,4.274271278
stratulus,3.869880695
valencienni,4.321524401
vanidicus,3.62620586
vermiculatus,4.802849398
websteri,3.916546094
whitemani,4.097478535
